id;cdate;ddate;mdate;odate;pdate;tcdate;tmdate;domain;forum;number
z3ZlnaOM0d;1694253110791.0;;1705933464273;1695045150998.0;1705933464241.0;1694253110791.0;1705933464273;TMLR;z3ZlnaOM0d;1564
yzkSU5zdwD;1656099889409.0;;1677603521950;1656254247753.0;1661960234541.0;1656099889409.0;1677603521950;TMLR;yzkSU5zdwD;209
ywr5sWqQt4;1653507734787.0;;1686688175830;1653677615316.0;1659624962047.0;1653507734787.0;1686688175830;TMLR;ywr5sWqQt4;127
yrkJGne0vN;1678716083475.0;;1692430747848;1681061488363.0;1692430747787.0;1678716083475.0;1692430747848;TMLR;yrkJGne0vN;941
ynG5Ak7n7Q;1690247403927.0;;1707423511071;1691339899916.0;1707418135521.0;1690247403927.0;1707423511071;TMLR;ynG5Ak7n7Q;1415
yhGCKUsKJS;1668887898828.0;;1678077363277;1669777094014.0;1678077363240.0;1668887898828.0;1678077363277;TMLR;yhGCKUsKJS;616
ygoNPRiLxw;1659976755178.0;;1677603544007;1660334065679.0;1670266380208.0;1659976755178.0;1677603544007;TMLR;ygoNPRiLxw;346
yeT9cBq8Cn;1663404399360.0;;1677603557326;1664075035878.0;1670069373598.0;1663404399360.0;1677603557326;TMLR;yeT9cBq8Cn;442
yVkpxs77cD;1649106649133.0;;1677603492695;1649774918254.0;1658346962957.0;1649106649133.0;1677603492695;TMLR;yVkpxs77cD;29
yUmJ483OB0;1697780482071.0;;1710527242990;1698423121120.0;1710527242912.0;1697780482071.0;1710527242990;TMLR;yUmJ483OB0;1709
ySWQ6eXAKp;1683768397693.0;;1698632042993;1685110301842.0;1698632042953.0;1683768397693.0;1698632042993;TMLR;ySWQ6eXAKp;1144
y8RZoPjEUl;1682998377524.0;;1692887580187;1683593266951.0;1692887580152.0;1682998377524.0;1692887580187;TMLR;y8RZoPjEUl;1110
y7RGNXhGSR;1669188927598.0;;1677618019574;1669903378573.0;1675071183991.0;1669188927598.0;1677618019574;TMLR;y7RGNXhGSR;624
y4CGF1A8VG;1670622202329.0;;1683319818212;1672250738296.0;1683319818168.0;1670622202329.0;1683319818212;TMLR;y4CGF1A8VG;686
xzCDD9i4IZ;1668893496819.0;;1684952671476;1670434027237.0;1684952671437.0;1668893496819.0;1684952671476;TMLR;xzCDD9i4IZ;617
xyt4wfdo4J;1649422301012.0;;1677603493825;1649468605791.0;1657069166137.0;1649422301012.0;1677603493825;TMLR;xyt4wfdo4J;40
xwWsiFmUEs;1649291315996.0;;1677603493538;1650465283734.0;1659047076886.0;1649291315996.0;1677603493538;TMLR;xwWsiFmUEs;36
xuWTFQ4VGO;1683201205597.0;;1692717126814;1683556069736.0;1692717126785.0;1683201205597.0;1692717126814;TMLR;xuWTFQ4VGO;1119
xqS8k9E75c;1671712974998.0;;1680620507048;1672801389011.0;1680620507014.0;1671712974998.0;1680620507048;TMLR;xqS8k9E75c;720
xqAVkqrLjx;1704266865149.0;;1711443845238;1704355511748.0;1711443845181.0;1704266865149.0;1711443845238;TMLR;xqAVkqrLjx;2006
xoLyps2qWc;1679833385612.0;;1695184643176;1680749081510.0;1695184643133.0;1679833385612.0;1695184643176;TMLR;xoLyps2qWc;996
xo3hI5MwvU;1696868521601.0;;1709262972564;1697234010651.0;1709262972484.0;1696868521601.0;1709262972564;TMLR;xo3hI5MwvU;1662
xkrtvHlp3P;1667329768470.0;;1679120926371;1668217761930.0;1679120926341.0;1667329768470.0;1679120926371;TMLR;xkrtvHlp3P;554
xkiflfKCw3;1697149335586.0;;1708194132103;1697934477865.0;1708194132036.0;1697149335586.0;1708194132103;TMLR;xkiflfKCw3;1679
xiQXHvL1eN;1684082929484.0;;1696431528748;1685259967358.0;1696305628424.0;1684082929484.0;1696431528748;TMLR;xiQXHvL1eN;1161
xgYgDEof29;1689000208963.0;;1699242015721;1689215752341.0;1697209028769.0;1689000208963.0;1699242015721;TMLR;xgYgDEof29;1363
xflYdGZMpv;1691408942622.0;;1702246173099;1692200518073.0;1702246173056.0;1691408942622.0;1702246173099;TMLR;xflYdGZMpv;1452
xWrtiJwJj5;1685174338523.0;;1694754397063;1685403164083.0;1694754397024.0;1685174338523.0;1694754397063;TMLR;xWrtiJwJj5;1201
xLnbSpozWS;1686668908189.0;;1698071959948;1687455803079.0;1698071959912.0;1686668908189.0;1698071959948;TMLR;xLnbSpozWS;1277
xLg8ljlEba;1695057870263.0;;1706803890289;1696056588381.0;1706803890234.0;1695057870263.0;1706803890289;TMLR;xLg8ljlEba;1595
x4hmIsWu7e;1665415345151.0;;1677603564140;1665756603270.0;1671864523823.0;1665415345151.0;1677603564140;TMLR;x4hmIsWu7e;495
wzzrs5QH5k;1688959658083.0;;1703324158713;1689240488514.0;1703324158675.0;1688959658083.0;1703324158713;TMLR;wzzrs5QH5k;1360
wzRE5kTnl3;1693106113414.0;;1701101158550;1693493395675.0;1701101158491.0;1693106113414.0;1701101158550;TMLR;wzRE5kTnl3;1515
wyU3Q4gahM;1691083157308.0;;1706659643745;1692305790261.0;1706659643710.0;1691083157308.0;1706659643745;TMLR;wyU3Q4gahM;1438
wvLQMHtyLk;1684073870882.0;;1691768402518;1685736913395.0;1691768402466.0;1684073870882.0;1691768402518;TMLR;wvLQMHtyLk;1160
wmGlMhaBe0;1668679167732.0;;1678794554371;1668786077529.0;1678794554327.0;1668679167732.0;1678794554371;TMLR;wmGlMhaBe0;607
wkecshlYxI;1663345689030.0;;1677618020676;1664038440923.0;1674846697042.0;1663345689030.0;1677618020676;TMLR;wkecshlYxI;439
wk8oXR0kFA;1673875842223.0;;1687773056665;1675445802853.0;1687773056627.0;1673875842223.0;1687773056665;TMLR;wk8oXR0kFA;779
whJPugmP5I;1654111556985.0;;1688149513957;1654206237545.0;1660693966352.0;1654111556985.0;1688149513957;TMLR;whJPugmP5I;146
wbpxTuXgm0;1681740473804.0;;1694430109298;1682350197513.0;1694430109267.0;1681740473804.0;1694430109298;TMLR;wbpxTuXgm0;1064
wRepWp1KC7;1679926469713.0;;1694935612033;1681395359383.0;1694935612001.0;1679926469713.0;1694935612033;TMLR;wRepWp1KC7;1002
wNBARGxoJn;1670002896018.0;;1685085640429;1670018156408.0;1685085640397.0;1670002896018.0;1685085640429;TMLR;wNBARGxoJn;658
wIXHG8LZ2w;1667090396649.0;;1677618027012;1668183549102.0;1672970866901.0;1667090396649.0;1677618027012;TMLR;wIXHG8LZ2w;552
w4MoQ39zmc;1692361516572.0;;1702051498944;1692664035477.0;1702051498858.0;1692361516572.0;1702051498944;TMLR;w4MoQ39zmc;1485
w3z3sN1b04;1653569739973.0;;1677603507506;1653680689202.0;1662990343543.0;1653569739973.0;1677603507506;TMLR;w3z3sN1b04;128
w3x20YEcQK;1655990616758.0;;1677603520715;1656006640672.0;1665670616259.0;1655990616758.0;1677603520715;TMLR;w3x20YEcQK;204
w36pqfaJ4t;1680451292344.0;;1688402700144;1680505572025.0;1688402700104.0;1680451292344.0;1688402700144;TMLR;w36pqfaJ4t;1021
vyRBsqj5iG;1693000395294.0;;1704662605253;1693868357450.0;1704662605209.0;1693000395294.0;1704662605253;TMLR;vyRBsqj5iG;1512
vxyjTUPV24;1657677499050.0;;1677618018741;1658239183917.0;1675285235146.0;1657677499050.0;1677618018741;TMLR;vxyjTUPV24;262
vwOKBldzFu;1662545590861.0;;1677603554449;1663011775220.0;1671609011645.0;1662545590861.0;1677603554449;TMLR;vwOKBldzFu;414
vsCpILiWHu;1693838047367.0;;1707320718084;1694037035270.0;1707320718029.0;1693838047367.0;1707320718084;TMLR;vsCpILiWHu;1540
vqRzLv6POg;1659104058582.0;;1688149513458;1660080107977.0;1669764868593.0;1659104058582.0;1688149513458;TMLR;vqRzLv6POg;319
vlY9GDCCA6;1681804273237.0;;1700090274898;1682690004974.0;1700090274866.0;1681804273237.0;1700090274898;TMLR;vlY9GDCCA6;1066
vkiKzK5G3e;1693077935023.0;;1698741445187;1693292383809.0;1698741445155.0;1693077935023.0;1698741445187;TMLR;vkiKzK5G3e;1513
vgXnEyeWVY;1681638979109.0;;1694762526292;1681856455894.0;1694762526261.0;1681638979109.0;1694762526292;TMLR;vgXnEyeWVY;1059
vfT4YuzAYA;1692797280183.0;;1703087298027;1693450658463.0;1703087297985.0;1692797280183.0;1703087298027;TMLR;vfT4YuzAYA;1501
vd0onGWZbE;1655295146776.0;;1677603516215;1655903570044.0;1666288403333.0;1655295146776.0;1677603516215;TMLR;vd0onGWZbE;182
vcHwQyNBjW;1675250602359.0;;1695156930151;1675572976268.0;1695156930112.0;1675250602359.0;1695156930151;TMLR;vcHwQyNBjW;827
vXSsTYs6ZB;1677510176723.0;;1686810854689;1678647441861.0;1686810854656.0;1677510176723.0;1686810854689;TMLR;vXSsTYs6ZB;900
vWTZO1RXZR;1693981436962.0;;1707376168496;1694745169849.0;1707376168444.0;1693981436962.0;1707376168496;TMLR;vWTZO1RXZR;1550
vUuHPRrWs2;1657292219972.0;;1688149513697;1658146491926.0;1666631311584.0;1657292219972.0;1688149513697;TMLR;vUuHPRrWs2;250
vTsfup5ll6;1671225662430.0;;1687334933522;1672906250744.0;1687334933481.0;1671225662430.0;1687334933522;TMLR;vTsfup5ll6;701
vTBjBtGioE;1697001768114.0;;1709600943115;1697657583600.0;1709600943052.0;1697001768114.0;1709600943115;TMLR;vTBjBtGioE;1671
vJcTm2v9Ku;1693815651555.0;;1701972060326;1694485023287.0;1701972060281.0;1693815651555.0;1701972060326;TMLR;vJcTm2v9Ku;1539
vFSsRYGpjW;1696643706760.0;;1708080842669;1696844193576.0;1708080842611.0;1696643706760.0;1708080842669;TMLR;vFSsRYGpjW;1655
v73h3bYE2Z;1675582529528.0;;1684422563087;1676595578860.0;1684422563045.0;1675582529528.0;1684422563087;TMLR;v73h3bYE2Z;836
v6anjyEDVW;1665330745195.0;;1678311806799;1666075396480.0;1678311806755.0;1665330745195.0;1678311806799;TMLR;v6anjyEDVW;489
v5jwDLqfQo;1666056390354.0;;1680687157654;1667414227965.0;1680687157623.0;1666056390354.0;1680687157654;TMLR;v5jwDLqfQo;515
v5ew3FPTgb;1685379213489.0;;1692790542897;1686165363005.0;1692790542864.0;1685379213489.0;1692790542897;TMLR;v5ew3FPTgb;1205
uyTL5Bvosj;1674072925483.0;;1683833195923;1674146390044.0;1683833195891.0;1674072925483.0;1683833195923;TMLR;uyTL5Bvosj;783
uxNfN2PU1W;1694814706104.0;;1708927808472;1696585719203.0;1708927808393.0;1694814706104.0;1708927808472;TMLR;uxNfN2PU1W;1587
ux9BrxPCl8;1697868276815.0;;1710853133769;1698424267514.0;1710853133705.0;1697868276815.0;1710853133769;TMLR;ux9BrxPCl8;1713
uvDD9rN6Zz;1663788259122.0;;1677603558820;1663863941924.0;1669135445716.0;1663788259122.0;1677603558820;TMLR;uvDD9rN6Zz;452
uv32JOdQuh;1677413312480.0;;1687783194922;1677636010434.0;1687783194893.0;1677413312480.0;1687783194922;TMLR;uv32JOdQuh;897
urfWb7VjmL;1649870279072.0;;1677603495373;1649900502961.0;1660600068328.0;1649870279072.0;1677603495373;TMLR;urfWb7VjmL;49
uqQPyWFDhY;1698705439343.0;;1707753609074;1699375109323.0;1707753609018.0;1698705439343.0;1707753609074;TMLR;uqQPyWFDhY;1759
uq29MIWvIV;1687248700473.0;;1693493876133;1687942483518.0;1693493876086.0;1687248700473.0;1693493876133;TMLR;uq29MIWvIV;1306
umggDfMHha;1691974861657.0;;1705430651717;1692038622688.0;1705430651670.0;1691974861657.0;1705430651717;TMLR;umggDfMHha;1471
ue9igTDLN2;1694632736928.0;;1709891525999;1694753813196.0;1709891525929.0;1694632736928.0;1709891525999;TMLR;ue9igTDLN2;1580
ubCoTAynPp;1683210439237.0;;1693267144906;1684036385400.0;1693267144867.0;1683210439237.0;1693267144906;TMLR;ubCoTAynPp;1121
uaHyXxyp2r;1686923929018.0;;1695911143900;1687151675049.0;1694708939998.0;1686923929018.0;1695911143900;TMLR;uaHyXxyp2r;1291
uXGUSX8GoY;1689902231371.0;;1708294016778;1691026622860.0;1708294016572.0;1689902231371.0;1708294016778;TMLR;uXGUSX8GoY;1403
uKCGOw9bGG;1686687760162.0;;1698822998891;1687166808134.0;1698822998857.0;1686687760162.0;1698822998891;TMLR;uKCGOw9bGG;1278
uGVFtjvI3v;1697320470178.0;;1708806696938;1698242990199.0;1708806696882.0;1697320470178.0;1708806696938;TMLR;uGVFtjvI3v;1682
u8tvSxm4Bs;1657203135739.0;;1677603528008;1657511933831.0;1664716540283.0;1657203135739.0;1677603528008;TMLR;u8tvSxm4Bs;244
u0n1chY0b6;1653396441206.0;;1677603505524;1653867099623.0;1663284961768.0;1653396441206.0;1677603505524;TMLR;u0n1chY0b6;121
txpYITR8oa;1693964041411.0;;1705452815028;1694462176764.0;1705452814990.0;1693964041411.0;1705452815028;TMLR;txpYITR8oa;1549
tv46tCzs83;1683752989166.0;;1693581889241;1683998643777.0;1693581889182.0;1683752989166.0;1693581889241;TMLR;tv46tCzs83;1142
ttzypy3kT7;1670906312204.0;;1685475441002;1671671389577.0;1685475440949.0;1670906312204.0;1685475441002;TMLR;ttzypy3kT7;694
tqDhrbKJLS;1657824590755.0;;1677603531493;1658120828155.0;1664628948535.0;1657824590755.0;1677603531493;TMLR;tqDhrbKJLS;271
torWsEui9N;1695659794615.0;;1708292427802;1695997967312.0;1708292427738.0;1695659794615.0;1708292427802;TMLR;torWsEui9N;1604
tnRRHzZPMq;1664809365289.0;;1677618027457;1664977726896.0;1672939252609.0;1664809365289.0;1677618027457;TMLR;tnRRHzZPMq;473
tnPjQpYk7D;1649003417356.0;;1677603491749;1649099464651.0;1656587952089.0;1649003417356.0;1677603491749;TMLR;tnPjQpYk7D;23
tbd9f3HwPy;1660738383135.0;;1677603548501;1660980284986.0;1670395153526.0;1660738383135.0;1677603548501;TMLR;tbd9f3HwPy;370
tQVZgvXhZb;1696902214839.0;;1707376413098;1697126899306.0;1707376412997.0;1696902214839.0;1707376413098;TMLR;tQVZgvXhZb;1665
tPMQ6Je2rB;1656618989695.0;;1677603524731;1657478278588.0;1663919538108.0;1656618989695.0;1677603524731;TMLR;tPMQ6Je2rB;224
tLIBAEYjcv;1650750979058.0;;1677603498747;1651310446754.0;1658418652857.0;1650750979058.0;1677603498747;TMLR;tLIBAEYjcv;63
tLG26QxoD8;1661761540281.0;;1677603551521;1662431121809.0;1669524730256.0;1661761540281.0;1677603551521;TMLR;tLG26QxoD8;393
tLBjsX4tjs;1682440252281.0;;1689615686976;1682674565491.0;1689615686940.0;1682440252281.0;1689615686976;TMLR;tLBjsX4tjs;1093
tEVpz2xJWX;1669732362999.0;;1678878265713;1669833475641.0;1678878265684.0;1669732362999.0;1678878265713;TMLR;tEVpz2xJWX;647
tEKqQgbwbf;1686142634333.0;;1698442165548;1686617929908.0;1698442165514.0;1686142634333.0;1698442165548;TMLR;tEKqQgbwbf;1243
tE2NiMGd07;1670875520892.0;;1681061380588;1672925679507.0;1681061380551.0;1670875520892.0;1681061380588;TMLR;tE2NiMGd07;692
tBl4yBEjKi;1663368960549.0;;1677618013575;1664387462504.0;1677198517426.0;1663368960549.0;1677618013575;TMLR;tBl4yBEjKi;441
t5HkgbxZp1;1657086128031.0;;1677603527432;1657234853475.0;1663068588081.0;1657086128031.0;1677603527432;TMLR;t5HkgbxZp1;237
t4p612DftO;1690270802864.0;;1701866981283;1691192651547.0;1701866981248.0;1690270802864.0;1701866981283;TMLR;t4p612DftO;1416
slsAQHpS7n;1665000940689.0;;1683293472956;1666891698973.0;1683293472922.0;1665000940689.0;1683293472956;TMLR;slsAQHpS7n;483
sixOD8YVvM;1676532196655.0;;1686112903674;1676641593380.0;1686112903638.0;1676532196655.0;1686112903674;TMLR;sixOD8YVvM;866
sbkZKBVC31;1683633628426.0;;1702768241786;1685565524674.0;1702768241748.0;1683633628426.0;1702768241786;TMLR;sbkZKBVC31;1135
sY75NqDRk1;1690880578838.0;;1703147609285;1692040057139.0;1703147609247.0;1690880578838.0;1703147609285;TMLR;sY75NqDRk1;1431
sY35BAiIf4;1676924270929.0;;1687911352897;1677520688455.0;1687911352866.0;1676924270929.0;1687911352897;TMLR;sY35BAiIf4;880
sX9d3gfwtE;1650558414705.0;;1677603497558;1650951406864.0;1658185935621.0;1650558414705.0;1677603497558;TMLR;sX9d3gfwtE;58
sWlHhfijcS;1690287411132.0;;1706118713495;1692324115884.0;1706118713459.0;1690287411132.0;1706118713495;TMLR;sWlHhfijcS;1418
sWQJfb2GSk;1673366233177.0;;1686028458709;1674160310305.0;1686028458672.0;1673366233177.0;1686028458709;TMLR;sWQJfb2GSk;766
sUlbRfLijj;1688399420492.0;;1701732126799;1688598395586.0;1701732126763.0;1688399420492.0;1701732126799;TMLR;sUlbRfLijj;1345
sRgvmXjrmg;1664535449017.0;;1677603561272;1665098900959.0;1671718705649.0;1664535449017.0;1677603561272;TMLR;sRgvmXjrmg;467
sPlhAIp6mk;1702061751887.0;;1709158332661;1702254265968.0;1709158332602.0;1702061751887.0;1709158332661;TMLR;sPlhAIp6mk;1916
sNxNi54B8b;1650717293587.0;;1677603498469;1651308918357.0;1659828112171.0;1650717293587.0;1677603498469;TMLR;sNxNi54B8b;62
sMsGv5Kfm3;1666020407764.0;;1677618018953;1666682890185.0;1675198584791.0;1666020407764.0;1677618018953;TMLR;sMsGv5Kfm3;511
sHSKFYyINO;1691725488517.0;;1708662924545;1692502855961.0;1708660385883.0;1691725488517.0;1708662924545;TMLR;sHSKFYyINO;1463
sFk3aBNb81;1679504469733.0;;1687727342098;1680063411670.0;1687727342053.0;1679504469733.0;1687727342098;TMLR;sFk3aBNb81;986
s9efQF3QW1;1673468571987.0;;1682469012125;1673902919987.0;1682469012094.0;1673468571987.0;1682469012125;TMLR;s9efQF3QW1;771
s1qh12FReM;1693988975335.0;;1710817480625;1694033738291.0;1710817480547.0;1693988975335.0;1710817480625;TMLR;s1qh12FReM;1551
ryUHgEdWCQ;1666815070547.0;;1683719266551;1666900785522.0;1674492475165.0;1666815070547.0;1683719266551;TMLR;ryUHgEdWCQ;543
ry2qgRqTOw;1686585605339.0;;1693963739916;1687093895439.0;1693963739875.0;1686585605339.0;1693963739916;TMLR;ry2qgRqTOw;1266
rrMK6hYNSx;1658491949948.0;;1677603536234;1659136726775.0;1664882809652.0;1658491949948.0;1677603536234;TMLR;rrMK6hYNSx;294
rq1SaHQg2k;1686361374254.0;;1700983610038;1688005113964.0;1700983610005.0;1686361374254.0;1700983610038;TMLR;rq1SaHQg2k;1257
rm0zIzlhcX;1666177851995.0;;1677618016989;1666358736316.0;1675814933609.0;1666177851995.0;1677618016989;TMLR;rm0zIzlhcX;521
rdHVPPVuXa;1679617682156.0;;1694392126730;1681564244112.0;1694392126669.0;1679617682156.0;1694392126730;TMLR;rdHVPPVuXa;992
rQqzt4gYcc;1695899933815.0;;1706539593068;1696342491982.0;1706539593027.0;1695899933815.0;1706539593068;TMLR;rQqzt4gYcc;1622
rFecyFpFUp;1690126367822.0;;1705887248684;1691068778672.0;1705887248652.0;1690126367822.0;1705887248684;TMLR;rFecyFpFUp;1410
rAnB7JSMXL;1672608664999.0;;1678968728027;1673946720194.0;1678968727994.0;1672608664999.0;1678968728027;TMLR;rAnB7JSMXL;744
r9vGSpbbRO;1677487336722.0;;1684217462528;1677778482964.0;1684217462491.0;1677487336722.0;1684217462528;TMLR;r9vGSpbbRO;898
r9p9CV52MV;1695073150558.0;;1711041828265;1695519317466.0;1709015978074.0;1695073150558.0;1711041828265;TMLR;r9p9CV52MV;1596
r7imkFEAQb;1675129879675.0;;1686164965208;1676125496219.0;1686164965168.0;1675129879675.0;1686164965208;TMLR;r7imkFEAQb;819
r6oHDYOZ6p;1680546020814.0;;1686638108089;1680604568982.0;1686638108058.0;1680546020814.0;1686638108089;TMLR;r6oHDYOZ6p;1025
r30yuDPvf2;1688548986055.0;;1695118912179;1688619625242.0;1695118912143.0;1688548986055.0;1695118912179;TMLR;r30yuDPvf2;1346
r06xREo3QG;1686612530528.0;;1699860441302;1687850733556.0;1699860441263.0;1686612530528.0;1699860441302;TMLR;r06xREo3QG;1271
qzM1Tw5i7N;1653737788450.0;;1677603508406;1653964938482.0;1660980065821.0;1653737788450.0;1677603508406;TMLR;qzM1Tw5i7N;134
qyfz0QrkqP;1697451425831.0;;1706525157683;1697552218180.0;1706525157645.0;1697451425831.0;1706525157683;TMLR;qyfz0QrkqP;1685
qxrwt6F3sf;1676042809678.0;;1682400098305;1676079030308.0;1682400098264.0;1676042809678.0;1682400098305;TMLR;qxrwt6F3sf;853
qvRWcDXBam;1668559735518.0;;1679810143261;1669703872890.0;1679810143224.0;1668559735518.0;1679810143261;TMLR;qvRWcDXBam;601
qrGKGZZvH0;1656916971890.0;;1688149514571;1657251507139.0;1663296190964.0;1656916971890.0;1688149514571;TMLR;qrGKGZZvH0;232
qqnttX9LPo;1688111446803.0;;1701305345994;1688361170805.0;1701305345946.0;1688111446803.0;1701305345994;TMLR;qqnttX9LPo;1338
qhtHsvF5zj;1698120695494.0;;1708501637406;1698280531967.0;1708501637346.0;1698120695494.0;1708501637406;TMLR;qhtHsvF5zj;1725
qdDmxzGuzu;1671636995139.0;;1680018190941;1672341727419.0;1680018190910.0;1671636995139.0;1680018190941;TMLR;qdDmxzGuzu;717
qcCE4mC2jI;1685588510478.0;;1695534767252;1686547260359.0;1695534767226.0;1685588510478.0;1695534767252;TMLR;qcCE4mC2jI;1218
qYNfwFCX9a;1653585073066.0;;1677603507811;1653957380691.0;1660914507389.0;1653585073066.0;1677603507811;TMLR;qYNfwFCX9a;129
qUxBs3Ln41;1680624740704.0;;1691163330128;1681178504858.0;1691163330100.0;1680624740704.0;1691163330128;TMLR;qUxBs3Ln41;1030
qM7JPBYROr;1684724348109.0;;1701286957297;1686028531606.0;1701286957251.0;1684724348109.0;1701286957297;TMLR;qM7JPBYROr;1179
qKIvn9xL1R;1693286754058.0;;1707791467883;1694662210174.0;1707791467792.0;1693286754058.0;1707791467883;TMLR;qKIvn9xL1R;1523
qHZs2p4ZD4;1683899746857.0;;1692291101003;1685414863489.0;1692291100965.0;1683899746857.0;1692291101003;TMLR;qHZs2p4ZD4;1155
qBZeQBEDIW;1698059008592.0;;1709654788481;1699023011014.0;1709654788423.0;1698059008592.0;1709654788481;TMLR;qBZeQBEDIW;1719
q4iSLPoFe7;1698970768267.0;;1710583468476;1699478824622.0;1710583468408.0;1698970768267.0;1710583468476;TMLR;q4iSLPoFe7;1778
q1Fey9feu7;1654278236827.0;;1677603512350;1655630193170.0;1662040099685.0;1654278236827.0;1677603512350;TMLR;q1Fey9feu7;151
pxpbTdUEpD;1669645584300.0;;1686101570067;1670386515273.0;1686101570033.0;1669645584300.0;1686101570067;TMLR;pxpbTdUEpD;643
ph3AYXpwEb;1658333145103.0;;1677603535650;1658660017120.0;1668557285180.0;1658333145103.0;1677603535650;TMLR;ph3AYXpwEb;291
pfbVayaUMc;1690228016413.0;;1705095230422;1691332468512.0;1705095230375.0;1690228016413.0;1705095230422;TMLR;pfbVayaUMc;1414
pbs22kJmEO;1675878441081.0;;1686591981776;1677014865031.0;1685740992987.0;1675878441081.0;1686591981776;TMLR;pbs22kJmEO;845
paguBNtqiO;1664880675286.0;;1677618014386;1665335839787.0;1677021393162.0;1664880675286.0;1677618014386;TMLR;paguBNtqiO;475
pWsfWDnJDa;1689821831509.0;;1707407725043;1691675510737.0;1707407724974.0;1689821831509.0;1707407725043;TMLR;pWsfWDnJDa;1397
pHCdMat0gI;1683450148195.0;;1692411709541;1685040002387.0;1692411709494.0;1683450148195.0;1692411709541;TMLR;pHCdMat0gI;1129
pCbC3aQB5W;1685144070506.0;;1691762515725;1685452162194.0;1691762515671.0;1685144070506.0;1691762515725;TMLR;pCbC3aQB5W;1200
p8gncJbMit;1662645944481.0;;1677603555041;1663068210376.0;1672021308389.0;1662645944481.0;1677603555041;TMLR;p8gncJbMit;418
p7UTv2hWgM;1675132034878.0;;1688439199112;1675322607959.0;1688439198987.0;1675132034878.0;1688439199112;TMLR;p7UTv2hWgM;820
p5V8P2J61u;1655113169859.0;;1677603515333;1655208349785.0;1661177931881.0;1655113169859.0;1677603515333;TMLR;p5V8P2J61u;174
p28wv4G65d;1677634166160.0;;1687908581854;1677821196598.0;1687908581827.0;1677634166160.0;1687908581854;TMLR;p28wv4G65d;906
oyfRWeoUJY;1689843885778.0;;1700515150649;1690498230336.0;1700515150614.0;1689843885778.0;1700515150649;TMLR;oyfRWeoUJY;1398
oud7Ny0KQy;1686909538551.0;;1695168575826;1687827010447.0;1695168575758.0;1686909538551.0;1695168575826;TMLR;oud7Ny0KQy;1288
oqOBTo5uWD;1673357419307.0;;1695233767788;1674503369802.0;1688222996149.0;1673357419307.0;1695233767788;TMLR;oqOBTo5uWD;765
oq3tx5kinu;1658778551566.0;;1681361281306;1660098465014.0;1681361281259.0;1658778551566.0;1681361281306;TMLR;oq3tx5kinu;297
onufdyHvqN;1670030418682.0;;1681283874083;1670830503032.0;1681283874047.0;1670030418682.0;1681283874083;TMLR;onufdyHvqN;660
ok18jj7cam;1684430674551.0;;1699477773524;1684873626036.0;1699032479187.0;1684430674551.0;1699477773524;TMLR;ok18jj7cam;1172
oe4dl4MCGY;1664546205121.0;;1677618014187;1666295444149.0;1677093043721.0;1664546205121.0;1677618014187;TMLR;oe4dl4MCGY;470
obB415rg8q;1682714643732.0;;1693817387775;1684501688896.0;1693817387741.0;1682714643732.0;1693817387775;TMLR;obB415rg8q;1103
